treatment,wp,n_circles,seed,strategy,init,selection_scheme,archive_mode,repair,final_best,final_gap,total_evals,total_generations,evals_to_1e-02,evals_to_1e-03,evals_to_1e-05
baseline,STACK,20,17,SINGLE_VARIANCE,lhs,comma,off,random,0.08782159,0.69358683,200160,953,,,
baseline,STACK,20,18,SINGLE_VARIANCE,lhs,comma,off,random,0.0854988,0.70169111,200160,953,,,
baseline,STACK,20,19,SINGLE_VARIANCE,lhs,comma,off,random,0.08921414,0.68872815,200160,953,,,
baseline,STACK,20,20,SINGLE_VARIANCE,lhs,comma,off,random,0.10454012,0.63525517,200160,953,,,
baseline,STACK,20,21,SINGLE_VARIANCE,lhs,comma,off,random,0.08944093,0.68793686,200160,953,,,
baseline,STACK,20,22,SINGLE_VARIANCE,lhs,comma,off,random,0.10390352,0.63747628,200160,953,,,
baseline,STACK,20,23,SINGLE_VARIANCE,lhs,comma,off,random,0.20215039,0.29468885,200160,953,,,
baseline,STACK,20,24,SINGLE_VARIANCE,lhs,comma,off,random,0.10543906,0.63211872,200160,953,,,
+clip,STACK,7,0,SINGLE_VARIANCE,lhs,comma,off,clip,0.51716733,0.03495263,200160,953,,,
+clip,STACK,7,1,SINGLE_VARIANCE,lhs,comma,off,clip,0.53098052,0.00917686,200160,953,9900,,
+clip,STACK,7,2,SINGLE_VARIANCE,lhs,comma,off,clip,0.53535497,0.00101402,200160,953,6330,11370,
+clip,STACK,7,3,SINGLE_VARIANCE,lhs,comma,off,clip,0.51729242,0.03471921,200160,953,,,
+clip,STACK,7,4,SINGLE_VARIANCE,lhs,comma,off,clip,0.5193454,0.03088829,200160,953,,,
+clip,STACK,7,5,SINGLE_VARIANCE,lhs,comma,off,clip,0.52617371,0.0181465,200160,953,15570,,
+clip,STACK,7,6,SINGLE_VARIANCE,lhs,comma,off,clip,0.5336939,0.00411363,200160,953,8010,,
+clip,STACK,7,7,SINGLE_VARIANCE,lhs,comma,off,clip,0.51184992,0.04487505,200160,953,,,
+clip,STACK,7,8,SINGLE_VARIANCE,lhs,comma,off,clip,0.50017527,0.06666024,200160,953,,,
+clip,STACK,7,9,SINGLE_VARIANCE,lhs,comma,off,clip,0.50846001,0.0512007,200160,953,,,
+clip,STACK,7,10,SINGLE_VARIANCE,lhs,comma,off,clip,0.52322471,0.02364939,200160,953,,,
+clip,STACK,7,11,SINGLE_VARIANCE,lhs,comma,off,clip,0.50212303,0.06302568,200160,953,,,
+clip,STACK,7,12,SINGLE_VARIANCE,lhs,comma,off,clip,0.52265664,0.02470944,200160,953,,,
+clip,STACK,7,13,SINGLE_VARIANCE,lhs,comma,off,clip,0.52996503,0.01107179,200160,953,21030,,
+clip,STACK,7,14,SINGLE_VARIANCE,lhs,comma,off,clip,0.50141705,0.06434304,200160,953,,,
+clip,STACK,7,15,SINGLE_VARIANCE,lhs,comma,off,clip,0.51417181,0.04054233,200160,953,,,
+clip,STACK,7,16,SINGLE_VARIANCE,lhs,comma,off,clip,0.5224009,0.02518664,200160,953,,,
+clip,STACK,7,17,SINGLE_VARIANCE,lhs,comma,off,clip,0.51506265,0.03888002,200160,953,,,
+clip,STACK,7,18,SINGLE_VARIANCE,lhs,comma,off,clip,0.52056301,0.0286162,200160,953,,,
+clip,STACK,7,19,SINGLE_VARIANCE,lhs,comma,off,clip,0.52750293,0.01566613,200160,953,12000,,
+clip,STACK,7,20,SINGLE_VARIANCE,lhs,comma,off,clip,0.52586586,0.01872095,200160,953,,,
+clip,STACK,7,21,SINGLE_VARIANCE,lhs,comma,off,clip,0.52828579,0.01420529,200160,953,11790,,
+clip,STACK,7,22,SINGLE_VARIANCE,lhs,comma,off,clip,0.52259522,0.02482405,200160,953,,,
+clip,STACK,7,23,SINGLE_VARIANCE,lhs,comma,off,clip,0.51377588,0.04128116,200160,953,,,
+clip,STACK,7,24,SINGLE_VARIANCE,lhs,comma,off,clip,0.51277824,0.04314277,200160,953,,,
+clip,STACK,10,0,SINGLE_VARIANCE,lhs,comma,off,clip,0.38140025,0.09466231,200160,953,,,
+clip,STACK,10,1,SINGLE_VARIANCE,lhs,comma,off,clip,0.40163975,0.04661938,200160,953,,,
+clip,STACK,10,2,SINGLE_VARIANCE,lhs,comma,off,clip,0.39720944,0.05713571,200160,953,,,
+clip,STACK,10,3,SINGLE_VARIANCE,lhs,comma,off,clip,0.39485359,0.06272783,200160,953,,,
+clip,STACK,10,4,SINGLE_VARIANCE,lhs,comma,off,clip,0.40572729,0.0369167,200160,953,,,
+clip,STACK,10,5,SINGLE_VARIANCE,lhs,comma,off,clip,0.39959066,0.05148335,200160,953,,,
+clip,STACK,10,6,SINGLE_VARIANCE,lhs,comma,off,clip,0.38847322,0.07787305,200160,953,,,
+clip,STACK,10,7,SINGLE_VARIANCE,lhs,comma,off,clip,0.40666739,0.03468518,200160,953,,,
+clip,STACK,10,8,SINGLE_VARIANCE,lhs,comma,off,clip,0.41457629,0.01591165,200160,953,15360,,
+clip,STACK,10,9,SINGLE_VARIANCE,lhs,comma,off,clip,0.39530894,0.06164696,200160,953,,,
+clip,STACK,10,10,SINGLE_VARIANCE,lhs,comma,off,clip,0.33537006,0.20392513,200160,953,,,
+clip,STACK,10,11,SINGLE_VARIANCE,lhs,comma,off,clip,0.36207182,0.14054259,200160,953,,,
+clip,STACK,10,12,SINGLE_VARIANCE,lhs,comma,off,clip,0.39675801,0.05820728,200160,953,,,
+clip,STACK,10,13,SINGLE_VARIANCE,lhs,comma,off,clip,0.40472729,0.03929042,200160,953,,,
+clip,STACK,10,14,SINGLE_VARIANCE,lhs,comma,off,clip,0.39150062,0.07068686,200160,953,,,
+clip,STACK,10,15,SINGLE_VARIANCE,lhs,comma,off,clip,0.35852794,0.14895479,200160,953,,,
+clip,STACK,10,16,SINGLE_VARIANCE,lhs,comma,off,clip,0.39240545,0.06853904,200160,953,,,
+clip,STACK,10,17,SINGLE_VARIANCE,lhs,comma,off,clip,0.38653506,0.0824737,200160,953,,,
+clip,STACK,10,18,SINGLE_VARIANCE,lhs,comma,off,clip,0.38835242,0.07815979,200160,953,,,
+clip,STACK,10,19,SINGLE_VARIANCE,lhs,comma,off,clip,0.38990501,0.07447438,200160,953,,,
+clip,STACK,10,20,SINGLE_VARIANCE,lhs,comma,off,clip,0.35173784,0.16507259,200160,953,,,
+clip,STACK,10,21,SINGLE_VARIANCE,lhs,comma,off,clip,0.41573947,0.01315059,200160,953,12840,,
+clip,STACK,10,22,SINGLE_VARIANCE,lhs,comma,off,clip,0.40969456,0.02749952,200160,953,,,
+clip,STACK,10,23,SINGLE_VARIANCE,lhs,comma,off,clip,0.41148301,0.02325425,200160,953,21030,,
+clip,STACK,10,24,SINGLE_VARIANCE,lhs,comma,off,clip,0.38413208,0.08817771,200160,953,,,
+clip,STACK,15,0,SINGLE_VARIANCE,lhs,comma,off,clip,0.32161555,0.05707091,200160,953,,,
+clip,STACK,15,1,SINGLE_VARIANCE,lhs,comma,off,clip,0.28692505,0.15877832,200160,953,,,
+clip,STACK,15,2,SINGLE_VARIANCE,lhs,comma,off,clip,0.29718918,0.12868542,200160,953,,,
+clip,STACK,15,3,SINGLE_VARIANCE,lhs,comma,off,clip,0.28833046,0.15465785,200160,953,,,
+clip,STACK,15,4,SINGLE_VARIANCE,lhs,comma,off,clip,0.29074926,0.1475663,200160,953,,,
+clip,STACK,15,5,SINGLE_VARIANCE,lhs,comma,off,clip,0.29561035,0.13331429,200160,953,,,
