treatment,wp,n_circles,seed,strategy,init,selection_scheme,repair,final_best,final_gap,total_evals,total_generations,evals_to_1e-02,evals_to_1e-03,evals_to_1e-05
B-repair_clip,WP3,20,3,SINGLE_VARIANCE,lhs,comma,clip,0.23696125,0.17323231,100200,477,,,
B-repair_clip,WP3,20,4,SINGLE_VARIANCE,lhs,comma,clip,0.24288318,0.15257045,100200,477,,,
B-repair_clip,WP3,20,5,SINGLE_VARIANCE,lhs,comma,clip,0.24913986,0.13074063,100200,477,,,
B-repair_clip,WP3,20,6,SINGLE_VARIANCE,lhs,comma,clip,0.22777639,0.2052787,100200,477,,,
B-repair_clip,WP3,20,7,SINGLE_VARIANCE,lhs,comma,clip,0.25527092,0.10934914,100200,477,,,
B-repair_clip,WP3,20,8,SINGLE_VARIANCE,lhs,comma,clip,0.22372198,0.21942469,100200,477,,,
B-repair_clip,WP3,20,9,SINGLE_VARIANCE,lhs,comma,clip,0.22878999,0.2017422,100200,477,,,
B-repair_reflect,WP3,7,0,SINGLE_VARIANCE,lhs,comma,reflect,0.51342971,0.04192712,100200,477,,,
B-repair_reflect,WP3,7,1,SINGLE_VARIANCE,lhs,comma,reflect,0.51785381,0.03367164,100200,477,,,
B-repair_reflect,WP3,7,2,SINGLE_VARIANCE,lhs,comma,reflect,0.50306588,0.06126628,100200,477,,,
B-repair_reflect,WP3,7,3,SINGLE_VARIANCE,lhs,comma,reflect,0.50387751,0.05975177,100200,477,,,
B-repair_reflect,WP3,7,4,SINGLE_VARIANCE,lhs,comma,reflect,0.51376854,0.04129485,100200,477,,,
B-repair_reflect,WP3,7,5,SINGLE_VARIANCE,lhs,comma,reflect,0.5193634,0.03085471,100200,477,,,
B-repair_reflect,WP3,7,6,SINGLE_VARIANCE,lhs,comma,reflect,0.50919559,0.04982809,100200,477,,,
B-repair_reflect,WP3,7,7,SINGLE_VARIANCE,lhs,comma,reflect,0.52683673,0.01690928,100200,477,13260,,
B-repair_reflect,WP3,7,8,SINGLE_VARIANCE,lhs,comma,reflect,0.50391494,0.05968192,100200,477,,,
B-repair_reflect,WP3,7,9,SINGLE_VARIANCE,lhs,comma,reflect,0.5093449,0.04954947,100200,477,,,
