treatment,wp,n_circles,seed,strategy,init,selection_scheme,repair,final_best,final_gap,total_evals,total_generations,evals_to_1e-02,evals_to_1e-03,evals_to_1e-05
B+final_polish,WP5,10,9,SINGLE_VARIANCE,lhs,comma,random,0.38109085,0.09539674,100200,477,,,
B+final_polish,WP5,10,10,SINGLE_VARIANCE,lhs,comma,random,0.36493102,0.13375566,100200,477,,,
B+final_polish,WP5,10,11,SINGLE_VARIANCE,lhs,comma,random,0.38582101,0.08416865,100200,477,,,
B+final_polish,WP5,10,12,SINGLE_VARIANCE,lhs,comma,random,0.37052899,0.12046764,100200,477,,,
B+final_polish,WP5,10,13,SINGLE_VARIANCE,lhs,comma,random,0.38206743,0.09307862,100200,477,,,
B+final_polish,WP5,10,14,SINGLE_VARIANCE,lhs,comma,random,0.3618659,0.14103141,100200,477,,,
B+final_polish,WP5,10,15,SINGLE_VARIANCE,lhs,comma,random,0.19845618,0.52892044,100200,477,,,
B+final_polish,WP5,10,16,SINGLE_VARIANCE,lhs,comma,random,0.37838562,0.1018182,100200,477,,,
B+final_polish,WP5,10,17,SINGLE_VARIANCE,lhs,comma,random,0.22279072,0.47115704,100200,477,,,
B+final_polish,WP5,10,18,SINGLE_VARIANCE,lhs,comma,random,0.36521934,0.13307128,100200,477,,,
B+final_polish,WP5,10,19,SINGLE_VARIANCE,lhs,comma,random,0.38951111,0.07540938,100200,477,,,
B+final_polish,WP5,10,20,SINGLE_VARIANCE,lhs,comma,random,0.36333901,0.13753466,100200,477,,,
B+final_polish,WP5,10,21,SINGLE_VARIANCE,lhs,comma,random,0.38383457,0.0888839,100200,477,,,
B+final_polish,WP5,10,22,SINGLE_VARIANCE,lhs,comma,random,0.36493564,0.13374468,100200,477,,,
B+final_polish,WP5,10,23,SINGLE_VARIANCE,lhs,comma,random,0.36080725,0.14354435,100200,477,,,
B+final_polish,WP5,10,24,SINGLE_VARIANCE,lhs,comma,random,0.33896369,0.19539486,100200,477,,,
B+final_polish,WP5,15,0,SINGLE_VARIANCE,lhs,comma,random,0.16208452,0.52479222,100200,477,,,
B+final_polish,WP5,15,1,SINGLE_VARIANCE,lhs,comma,random,0.13520589,0.60359638,100200,477,,,
B+final_polish,WP5,15,2,SINGLE_VARIANCE,lhs,comma,random,0.12916807,0.62129839,100200,477,,,
B+final_polish,WP5,15,3,SINGLE_VARIANCE,lhs,comma,random,0.26960898,0.20954646,100200,477,,,
B+final_polish,WP5,15,4,SINGLE_VARIANCE,lhs,comma,random,0.14347637,0.57934857,100200,477,,,
B+final_polish,WP5,15,5,SINGLE_VARIANCE,lhs,comma,random,0.22595247,0.33754088,100200,477,,,
B+final_polish,WP5,15,6,SINGLE_VARIANCE,lhs,comma,random,0.268885,0.21166908,100200,477,,,
B+final_polish,WP5,15,7,SINGLE_VARIANCE,lhs,comma,random,0.12068264,0.64617641,100200,477,,,
B+final_polish,WP5,15,8,SINGLE_VARIANCE,lhs,comma,random,0.25664397,0.24755794,100200,477,,,
B+final_polish,WP5,15,9,SINGLE_VARIANCE,lhs,comma,random,0.13718005,0.59780845,100200,477,,,
B+final_polish,WP5,15,10,SINGLE_VARIANCE,lhs,comma,random,0.13332411,0.60911349,100200,477,,,
B+final_polish,WP5,15,11,SINGLE_VARIANCE,lhs,comma,random,0.26182745,0.23236077,100200,477,,,
B+final_polish,WP5,15,12,SINGLE_VARIANCE,lhs,comma,random,0.12904823,0.62164973,100200,477,,,
B+final_polish,WP5,15,13,SINGLE_VARIANCE,lhs,comma,random,0.15644254,0.54133369,100200,477,,,
B+final_polish,WP5,15,14,SINGLE_VARIANCE,lhs,comma,random,0.14048058,0.58813179,100200,477,,,
B+final_polish,WP5,15,15,SINGLE_VARIANCE,lhs,comma,random,0.13727915,0.59751789,100200,477,,,
B+final_polish,WP5,15,16,SINGLE_VARIANCE,lhs,comma,random,0.25319491,0.25767009,100200,477,,,
B+final_polish,WP5,15,17,SINGLE_VARIANCE,lhs,comma,random,0.28732794,0.15759712,100200,477,,,
B+final_polish,WP5,15,18,SINGLE_VARIANCE,lhs,comma,random,0.12196063,0.64242954,100200,477,,,
B+final_polish,WP5,15,19,SINGLE_VARIANCE,lhs,comma,random,0.1322607,0.61223126,100200,477,,,
B+final_polish,WP5,15,20,SINGLE_VARIANCE,lhs,comma,random,0.15037387,0.55912612,100200,477,,,
B+final_polish,WP5,15,21,SINGLE_VARIANCE,lhs,comma,random,0.14902421,0.56308312,100200,477,,,
B+final_polish,WP5,15,22,SINGLE_VARIANCE,lhs,comma,random,0.11896974,0.65119838,100200,477,,,
B+final_polish,WP5,15,23,SINGLE_VARIANCE,lhs,comma,random,0.15645353,0.54130147,100200,477,,,
B+final_polish,WP5,15,24,SINGLE_VARIANCE,lhs,comma,random,0.12127231,0.64444758,100200,477,,,
B+final_polish,WP5,20,0,SINGLE_VARIANCE,lhs,comma,random,0.11014542,0.61569806,100200,477,,,
B+final_polish,WP5,20,1,SINGLE_VARIANCE,lhs,comma,random,0.11874953,0.58567792,100200,477,,,
B+final_polish,WP5,20,2,SINGLE_VARIANCE,lhs,comma,random,0.10557855,0.63163204,100200,477,,,
B+final_polish,WP5,20,3,SINGLE_VARIANCE,lhs,comma,random,0.1263744,0.55907444,100200,477,,,
B+final_polish,WP5,20,4,SINGLE_VARIANCE,lhs,comma,random,0.10555308,0.63172091,100200,477,,,
B+final_polish,WP5,20,5,SINGLE_VARIANCE,lhs,comma,random,0.09724107,0.66072186,100200,477,,,
B+final_polish,WP5,20,6,SINGLE_VARIANCE,lhs,comma,random,0.09789902,0.65842623,100200,477,,,
B+final_polish,WP5,20,7,SINGLE_VARIANCE,lhs,comma,random,0.15035808,0.47539438,100200,477,,,
B+final_polish,WP5,20,8,SINGLE_VARIANCE,lhs,comma,random,0.11032112,0.61508503,100200,477,,,
B+final_polish,WP5,20,9,SINGLE_VARIANCE,lhs,comma,random,0.11903182,0.58469301,100200,477,,,
B+final_polish,WP5,20,10,SINGLE_VARIANCE,lhs,comma,random,0.11490576,0.599089,100200,477,,,
B+final_polish,WP5,20,11,SINGLE_VARIANCE,lhs,comma,random,0.1076856,0.62428046,100200,477,,,
B+final_polish,WP5,20,12,SINGLE_VARIANCE,lhs,comma,random,0.21254025,0.25843819,100200,477,,,
B+final_polish,WP5,20,13,SINGLE_VARIANCE,lhs,comma,random,0.1079222,0.62345496,100200,477,,,
B+final_polish,WP5,20,14,SINGLE_VARIANCE,lhs,comma,random,0.10388775,0.63753132,100200,477,,,
B+final_polish,WP5,20,15,SINGLE_VARIANCE,lhs,comma,random,0.0916913,0.68008524,100200,477,,,
B+final_polish,WP5,20,16,SINGLE_VARIANCE,lhs,comma,random,0.09836045,0.65681628,100200,477,,,
B+final_polish,WP5,20,17,SINGLE_VARIANCE,lhs,comma,random,0.11594415,0.59546602,100200,477,,,
B+final_polish,WP5,20,18,SINGLE_VARIANCE,lhs,comma,random,0.12323566,0.57002565,100200,477,,,
B+final_polish,WP5,20,19,SINGLE_VARIANCE,lhs,comma,random,0.11145602,0.6111253,100200,477,,,
B+final_polish,WP5,20,20,SINGLE_VARIANCE,lhs,comma,random,0.0920088,0.67897746,100200,477,,,
B+final_polish,WP5,20,21,SINGLE_VARIANCE,lhs,comma,random,0.10550197,0.63189925,100200,477,,,
B+final_polish,WP5,20,22,SINGLE_VARIANCE,lhs,comma,random,0.09895899,0.65472795,100200,477,,,
B+final_polish,WP5,20,23,SINGLE_VARIANCE,lhs,comma,random,0.20213951,0.29472683,100200,477,,,
B+final_polish,WP5,20,24,SINGLE_VARIANCE,lhs,comma,random,0.10739492,0.62529464,100200,477,,,
B+interleaved_polish,WP5,7,0,SINGLE_VARIANCE,lhs,comma,random,0.50332781,0.06077751,100200,354,,,
B+interleaved_polish,WP5,7,1,SINGLE_VARIANCE,lhs,comma,random,0.52323267,0.02363455,100050,345,,,
B+interleaved_polish,WP5,7,2,SINGLE_VARIANCE,lhs,comma,random,0.50076722,0.06555565,100035,354,,,
B+interleaved_polish,WP5,7,3,SINGLE_VARIANCE,lhs,comma,random,0.52027011,0.02916275,100050,335,,,
B+interleaved_polish,WP5,7,4,SINGLE_VARIANCE,lhs,comma,random,0.50444859,0.05868612,100095,339,,,
B+interleaved_polish,WP5,7,5,SINGLE_VARIANCE,lhs,comma,random,0.50485407,0.05792947,100065,303,,,
B+interleaved_polish,WP5,7,6,SINGLE_VARIANCE,lhs,comma,random,0.51149315,0.04554078,100065,338,,,
B+interleaved_polish,WP5,7,7,SINGLE_VARIANCE,lhs,comma,random,0.5167126,0.03580117,100200,345,,,
B+interleaved_polish,WP5,7,8,SINGLE_VARIANCE,lhs,comma,random,0.51281934,0.04306608,100200,347,,,
B+interleaved_polish,WP5,7,9,SINGLE_VARIANCE,lhs,comma,random,0.50135856,0.0644522,100035,306,,,
B+interleaved_polish,WP5,7,10,SINGLE_VARIANCE,lhs,comma,random,0.51806379,0.03327981,100080,372,,,
B+interleaved_polish,WP5,7,11,SINGLE_VARIANCE,lhs,comma,random,0.50591606,0.05594778,100185,371,,,
B+interleaved_polish,WP5,7,12,SINGLE_VARIANCE,lhs,comma,random,0.51287314,0.04296569,100200,347,,,
B+interleaved_polish,WP5,7,13,SINGLE_VARIANCE,lhs,comma,random,0.50904149,0.05011564,100125,363,,,
B+interleaved_polish,WP5,7,14,SINGLE_VARIANCE,lhs,comma,random,0.51456147,0.03981522,100155,369,,,
B+interleaved_polish,WP5,7,15,SINGLE_VARIANCE,lhs,comma,random,0.50790726,0.05223215,100185,349,,,
B+interleaved_polish,WP5,7,16,SINGLE_VARIANCE,lhs,comma,random,0.50872294,0.05071007,100020,323,,,
B+interleaved_polish,WP5,7,17,SINGLE_VARIANCE,lhs,comma,random,0.52346701,0.02319726,99855,330,,,
B+interleaved_polish,WP5,7,18,SINGLE_VARIANCE,lhs,comma,random,0.51780665,0.03375963,100005,361,,,
B+interleaved_polish,WP5,7,19,SINGLE_VARIANCE,lhs,comma,random,0.51001174,0.04830514,100080,369,,,
B+interleaved_polish,WP5,7,20,SINGLE_VARIANCE,lhs,comma,random,0.5071992,0.05355341,100035,339,,,
B+interleaved_polish,WP5,7,21,SINGLE_VARIANCE,lhs,comma,random,0.50830528,0.05148944,100110,356,,,
B+interleaved_polish,WP5,7,22,SINGLE_VARIANCE,lhs,comma,random,0.50257255,0.06218686,99630,370,,,
B+interleaved_polish,WP5,7,23,SINGLE_VARIANCE,lhs,comma,random,0.50207174,0.06312137,100170,339,,,
B+interleaved_polish,WP5,7,24,SINGLE_VARIANCE,lhs,comma,random,0.52814223,0.01447318,100155,323,30570,,
B+interleaved_polish,WP5,10,0,SINGLE_VARIANCE,lhs,comma,random,0.36759177,0.12743979,100053,275,,,
B+interleaved_polish,WP5,10,1,SINGLE_VARIANCE,lhs,comma,random,0.37261348,0.11551965,99927,270,,,
B+interleaved_polish,WP5,10,2,SINGLE_VARIANCE,lhs,comma,random,0.33031806,0.21591717,100200,282,,,
B+interleaved_polish,WP5,10,3,SINGLE_VARIANCE,lhs,comma,random,0.34333176,0.18502628,96483,160,,,
B+interleaved_polish,WP5,10,4,SINGLE_VARIANCE,lhs,comma,random,0.35590273,0.1551863,100200,294,,,
B+interleaved_polish,WP5,10,5,SINGLE_VARIANCE,lhs,comma,random,0.4044941,0.03984397,99969,200,,,
B+interleaved_polish,WP5,10,6,SINGLE_VARIANCE,lhs,comma,random,0.35749417,0.15140867,100011,284,,,
B+interleaved_polish,WP5,10,7,SINGLE_VARIANCE,lhs,comma,random,0.3585337,0.14894111,100032,267,,,
B+interleaved_polish,WP5,10,8,SINGLE_VARIANCE,lhs,comma,random,0.32432551,0.23014181,100179,307,,,
B+interleaved_polish,WP5,10,9,SINGLE_VARIANCE,lhs,comma,random,0.3716166,0.11788597,100074,313,,,
B+interleaved_polish,WP5,10,10,SINGLE_VARIANCE,lhs,comma,random,0.37572569,0.10813213,100074,266,,,
B+interleaved_polish,WP5,10,11,SINGLE_VARIANCE,lhs,comma,random,0.3419788,0.18823781,100179,253,,,
B+interleaved_polish,WP5,10,12,SINGLE_VARIANCE,lhs,comma,random,0.32473635,0.22916658,99822,280,,,
B+interleaved_polish,WP5,10,13,SINGLE_VARIANCE,lhs,comma,random,0.35804516,0.15010077,100200,298,,,
B+interleaved_polish,WP5,10,14,SINGLE_VARIANCE,lhs,comma,random,0.37862001,0.10126181,100095,247,,,
B+interleaved_polish,WP5,10,15,SINGLE_VARIANCE,lhs,comma,random,0.3648711,0.1338979,100095,231,,,
B+interleaved_polish,WP5,10,16,SINGLE_VARIANCE,lhs,comma,random,0.36394995,0.13608444,100074,242,,,
B+interleaved_polish,WP5,10,17,SINGLE_VARIANCE,lhs,comma,random,0.35823687,0.1496457,100032,268,,,
