init_scheme,n_circles,seed,final_best,final_gap
clustered,7,16,0.51307899,0.04258158
clustered,7,17,0.50762765,0.05275391
clustered,7,18,0.51565336,0.03777773
clustered,7,19,0.50691838,0.05407743
clustered,7,20,0.51766295,0.03402779
clustered,7,21,0.51962746,0.03036196
clustered,7,22,0.500601,0.06586581
clustered,7,23,0.50101656,0.06509037
clustered,7,24,0.49347982,0.07915412
clustered,10,0,0.3436446,0.18428367
clustered,10,1,0.38686382,0.08169332
clustered,10,2,0.37539576,0.1089153
clustered,10,3,0.39234845,0.06867433
clustered,10,4,0.18886233,0.55169355
clustered,10,5,0.35803853,0.1501165
clustered,10,6,0.35264612,0.16291659
clustered,10,7,0.38662807,0.08225292
clustered,10,8,0.3811223,0.09532209
clustered,10,9,0.37017846,0.12129971
clustered,10,10,0.38311879,0.09058298
clustered,10,11,0.38712645,0.0810699
clustered,10,12,0.39377672,0.06528402
clustered,10,13,0.37328007,0.11393735
clustered,10,14,0.3650532,0.13346564
clustered,10,15,0.34090973,0.19077549
clustered,10,16,0.36352995,0.1370814
clustered,10,17,0.37094107,0.11948947
clustered,10,18,0.3651314,0.13328001
clustered,10,19,0.39279844,0.06760618
clustered,10,20,0.2231163,0.47038421
clustered,10,21,0.35515842,0.15695307
clustered,10,22,0.1904993,0.54780785
clustered,10,23,0.34843906,0.17290298
clustered,10,24,0.36261745,0.13924742
clustered,15,0,0.13049262,0.61741501
clustered,15,1,0.26291846,0.22916208
clustered,15,2,0.28435402,0.16631618
clustered,15,3,0.11987995,0.64852976
clustered,15,4,0.11273935,0.66946494
clustered,15,5,0.11967147,0.64914101
clustered,15,6,0.12174837,0.64305184
clustered,15,7,0.26314557,0.22849622
clustered,15,8,0.12538341,0.63239443
clustered,15,9,0.13317986,0.60953641
clustered,15,10,0.26614541,0.21970114
clustered,15,11,0.133285,0.60922814
clustered,15,12,0.26840171,0.21308599
clustered,15,13,0.26834599,0.21324938
clustered,15,14,0.1240317,0.63635745
clustered,15,15,0.12666752,0.62862963
clustered,15,16,0.29375065,0.13876666
clustered,15,17,0.13173315,0.61377796
clustered,15,18,0.12719837,0.62707325
clustered,15,19,0.12787247,0.62509688
clustered,15,20,0.11832218,0.65309692
clustered,15,21,0.25774033,0.24434358
clustered,15,22,0.15220287,0.55376378
clustered,15,23,0.25243972,0.2598842
clustered,15,24,0.13589373,0.60157974
clustered,20,0,0.09339615,0.67413694
clustered,20,1,0.07787523,0.72829008
clustered,20,2,0.20847006,0.27263927
clustered,20,3,0.10557359,0.63164936
clustered,20,4,0.11102228,0.61263865
clustered,20,5,0.09386504,0.67250097
clustered,20,6,0.09972161,0.65206715
clustered,20,7,0.11952321,0.58297852
clustered,20,8,0.10805751,0.62298285
clustered,20,9,0.09459774,0.66994453
clustered,20,10,0.09962859,0.65239168
clustered,20,11,0.10508905,0.63333993
clustered,20,12,0.08420749,0.70619656
clustered,20,13,0.1000409,0.65095312
clustered,20,14,0.10195436,0.64427699
clustered,20,15,0.09161221,0.68036118
clustered,20,16,0.09826915,0.65713485
clustered,20,17,0.09950341,0.65282845
clustered,20,18,0.09685985,0.66205193
clustered,20,19,0.09029738,0.68494868
clustered,20,20,0.10310031,0.64027873
clustered,20,21,0.09849594,0.65634355
clustered,20,22,0.10093431,0.64783597
clustered,20,23,0.08293049,0.71065205
clustered,20,24,0.10031252,0.65000544
