treatment,wp,n_circles,seed,strategy,init,selection_scheme,repair,final_best,final_gap,total_evals,total_generations,evals_to_1e-02,evals_to_1e-03,evals_to_1e-05
B-repair_reflect,WP3,10,4,MULTIPLE_VARIANCE,lhs,comma,reflect,0.31938512,0.24186891,100200,477,,,
B-repair_reflect,WP3,10,5,MULTIPLE_VARIANCE,lhs,comma,reflect,0.39064066,0.07272814,100200,477,,,
B-repair_reflect,WP3,10,6,MULTIPLE_VARIANCE,lhs,comma,reflect,0.36580238,0.13168729,100200,477,,,
B-repair_reflect,WP3,10,7,MULTIPLE_VARIANCE,lhs,comma,reflect,0.38555424,0.08480189,100200,477,,,
B-repair_reflect,WP3,10,8,MULTIPLE_VARIANCE,lhs,comma,reflect,0.37947263,0.09923794,100200,477,,,
B-repair_reflect,WP3,10,9,MULTIPLE_VARIANCE,lhs,comma,reflect,0.37150909,0.11814116,100200,477,,,
B-repair_reflect,WP3,15,0,MULTIPLE_VARIANCE,lhs,comma,reflect,0.25873647,0.24142304,100200,477,,,
B-repair_reflect,WP3,15,1,MULTIPLE_VARIANCE,lhs,comma,reflect,0.27267265,0.20056424,100200,477,,,
B-repair_reflect,WP3,15,2,MULTIPLE_VARIANCE,lhs,comma,reflect,0.24977976,0.26768281,100200,477,,,
B-repair_reflect,WP3,15,3,MULTIPLE_VARIANCE,lhs,comma,reflect,0.27323182,0.19892484,100200,477,,,
B-repair_reflect,WP3,15,4,MULTIPLE_VARIANCE,lhs,comma,reflect,0.28831889,0.1546918,100200,477,,,
B-repair_reflect,WP3,15,5,MULTIPLE_VARIANCE,lhs,comma,reflect,0.27207676,0.20231131,100200,477,,,
B-repair_reflect,WP3,15,6,MULTIPLE_VARIANCE,lhs,comma,reflect,0.28708731,0.1583026,100200,477,,,
B-repair_reflect,WP3,15,7,MULTIPLE_VARIANCE,lhs,comma,reflect,0.28512095,0.16406767,100200,477,,,
B-repair_reflect,WP3,15,8,MULTIPLE_VARIANCE,lhs,comma,reflect,0.27229716,0.20166512,100200,477,,,
B-repair_reflect,WP3,15,9,MULTIPLE_VARIANCE,lhs,comma,reflect,0.25014076,0.2666244,100200,477,,,
B-repair_reflect,WP3,20,0,MULTIPLE_VARIANCE,lhs,comma,reflect,0.21419182,0.25267582,100200,477,,,
B-repair_reflect,WP3,20,1,MULTIPLE_VARIANCE,lhs,comma,reflect,0.1927391,0.32752526,100200,477,,,
B-repair_reflect,WP3,20,2,MULTIPLE_VARIANCE,lhs,comma,reflect,0.21386262,0.2538244,100200,477,,,
B-repair_reflect,WP3,20,3,MULTIPLE_VARIANCE,lhs,comma,reflect,0.18959996,0.33847785,100200,477,,,
B-repair_reflect,WP3,20,4,MULTIPLE_VARIANCE,lhs,comma,reflect,0.18584647,0.35157393,100200,477,,,
B-repair_reflect,WP3,20,5,MULTIPLE_VARIANCE,lhs,comma,reflect,0.19329555,0.32558378,100200,477,,,
B-repair_reflect,WP3,20,6,MULTIPLE_VARIANCE,lhs,comma,reflect,0.18563479,0.35231247,100200,477,,,
B-repair_reflect,WP3,20,7,MULTIPLE_VARIANCE,lhs,comma,reflect,0.19984145,0.30274485,100200,477,,,
B-repair_reflect,WP3,20,8,MULTIPLE_VARIANCE,lhs,comma,reflect,0.20663967,0.27902559,100200,477,,,
B-repair_reflect,WP3,20,9,MULTIPLE_VARIANCE,lhs,comma,reflect,0.20205285,0.29502919,100200,477,,,
