variant,n_circles,seed,evaluations,best_fitness
baseline,7,0,73530,0.52346038
baseline,7,0,73740,0.52346035
baseline,7,0,73950,0.52346037
baseline,7,0,74160,0.52346037
baseline,7,0,74370,0.52346044
baseline,7,0,74580,0.52346045
baseline,7,0,74790,0.52346046
baseline,7,0,75000,0.52346042
baseline,7,0,75210,0.52346053
baseline,7,0,75420,0.52346047
baseline,7,0,75630,0.52346047
baseline,7,0,75840,0.52346047
baseline,7,0,76050,0.52346056
baseline,7,0,76260,0.52346058
baseline,7,0,76470,0.52346055
baseline,7,0,76680,0.52346054
baseline,7,0,76890,0.52346058
baseline,7,0,77100,0.52346058
baseline,7,0,77310,0.52346058
baseline,7,0,77520,0.52346054
baseline,7,0,77730,0.52346057
baseline,7,0,77940,0.52346064
baseline,7,0,78150,0.52346059
baseline,7,0,78360,0.52346067
baseline,7,0,78570,0.52346068
baseline,7,0,78780,0.52346071
baseline,7,0,78990,0.52346069
baseline,7,0,79200,0.52346069
baseline,7,0,79410,0.52346065
baseline,7,0,79620,0.52346073
baseline,7,0,79830,0.52346071
baseline,7,0,80040,0.52346074
baseline,7,0,80250,0.52346078
baseline,7,0,80460,0.52346077
baseline,7,0,80670,0.52346075
baseline,7,0,80880,0.52346079
baseline,7,0,81090,0.52346076
baseline,7,0,81300,0.52346074
baseline,7,0,81510,0.52346084
baseline,7,0,81720,0.52346084
baseline,7,0,81930,0.52346080
baseline,7,0,82140,0.52346079
baseline,7,0,82350,0.52346081
baseline,7,0,82560,0.52346081
baseline,7,0,82770,0.52346090
baseline,7,0,82980,0.52346084
baseline,7,0,83190,0.52346089
baseline,7,0,83400,0.52346088
baseline,7,0,83610,0.52346096
baseline,7,0,83820,0.52346091
baseline,7,0,84030,0.52346094
baseline,7,0,84240,0.52346097
baseline,7,0,84450,0.52346093
baseline,7,0,84660,0.52346103
baseline,7,0,84870,0.52346108
baseline,7,0,85080,0.52346099
baseline,7,0,85290,0.52346101
baseline,7,0,85500,0.52346105
baseline,7,0,85710,0.52346107
baseline,7,0,85920,0.52346106
baseline,7,0,86130,0.52346108
baseline,7,0,86340,0.52346113
baseline,7,0,86550,0.52346110
baseline,7,0,86760,0.52346110
baseline,7,0,86970,0.52346118
baseline,7,0,87180,0.52346112
baseline,7,0,87390,0.52346113
baseline,7,0,87600,0.52346119
baseline,7,0,87810,0.52346114
baseline,7,0,88020,0.52346116
baseline,7,0,88230,0.52346124
baseline,7,0,88440,0.52346129
baseline,7,0,88650,0.52346129
baseline,7,0,88860,0.52346124
baseline,7,0,89070,0.52346127
baseline,7,0,89280,0.52346131
baseline,7,0,89490,0.52346126
baseline,7,0,89700,0.52346130
baseline,7,0,89910,0.52346129
baseline,7,0,90120,0.52346135
baseline,7,0,90330,0.52346138
baseline,7,0,90540,0.52346142
baseline,7,0,90750,0.52346141
baseline,7,0,90960,0.52346137
baseline,7,0,91170,0.52346141
baseline,7,0,91380,0.52346135
baseline,7,0,91590,0.52346143
baseline,7,0,91800,0.52346142
baseline,7,0,92010,0.52346138
baseline,7,0,92220,0.52346145
baseline,7,0,92430,0.52346146
baseline,7,0,92640,0.52346147
baseline,7,0,92850,0.52346144
baseline,7,0,93060,0.52346151
baseline,7,0,93270,0.52346147
baseline,7,0,93480,0.52346147
baseline,7,0,93690,0.52346150
baseline,7,0,93900,0.52346153
baseline,7,0,94110,0.52346162
baseline,7,0,94320,0.52346160
baseline,7,0,94530,0.52346157
baseline,7,0,94740,0.52346165
baseline,7,0,94950,0.52346161
baseline,7,0,95160,0.52346168
baseline,7,0,95370,0.52346166
baseline,7,0,95580,0.52346168
baseline,7,0,95790,0.52346164
baseline,7,0,96000,0.52346169
baseline,7,0,96210,0.52346174
baseline,7,0,96420,0.52346172
baseline,7,0,96630,0.52346170
baseline,7,0,96840,0.52346174
baseline,7,0,97050,0.52346177
baseline,7,0,97260,0.52346176
baseline,7,0,97470,0.52346175
baseline,7,0,97680,0.52346182
baseline,7,0,97890,0.52346179
baseline,7,0,98100,0.52346178
