treatment,wp,n_circles,seed,strategy,init,selection_scheme,archive_mode,final_best,final_gap,total_evals,total_generations,evals_to_1e-02,evals_to_1e-03,evals_to_1e-05
B-no_lhs,WP1,20,10,SINGLE_VARIANCE,uniform,comma,off,0.23183406,0.1911213,100200,477,,,
B-no_lhs,WP1,20,11,SINGLE_VARIANCE,uniform,comma,off,0.22151829,0.22711344,100200,477,,,
B-no_lhs,WP1,20,12,SINGLE_VARIANCE,uniform,comma,off,0.22509601,0.21463064,100200,477,,,
B-no_lhs,WP1,20,13,SINGLE_VARIANCE,uniform,comma,off,0.20603932,0.28112023,100200,477,,,
B-no_lhs,WP1,20,14,SINGLE_VARIANCE,uniform,comma,off,0.09773418,0.65900136,100200,477,,,
B-no_lhs,WP1,20,15,SINGLE_VARIANCE,uniform,comma,off,0.23453921,0.18168294,100200,477,,,
B-no_lhs,WP1,20,16,SINGLE_VARIANCE,uniform,comma,off,0.22499568,0.21498071,100200,477,,,
B-no_lhs,WP1,20,17,SINGLE_VARIANCE,uniform,comma,off,0.24120578,0.15842298,100200,477,,,
B-no_lhs,WP1,20,18,SINGLE_VARIANCE,uniform,comma,off,0.24295014,0.15233685,100200,477,,,
B-no_lhs,WP1,20,19,SINGLE_VARIANCE,uniform,comma,off,0.22780522,0.20517811,100200,477,,,
B-no_lhs,WP1,20,20,SINGLE_VARIANCE,uniform,comma,off,0.23165422,0.19174879,100200,477,,,
B-no_lhs,WP1,20,21,SINGLE_VARIANCE,uniform,comma,off,0.21901557,0.23584556,100200,477,,,
B-no_lhs,WP1,20,22,SINGLE_VARIANCE,uniform,comma,off,0.21477078,0.25065581,100200,477,,,
B-no_lhs,WP1,20,23,SINGLE_VARIANCE,uniform,comma,off,0.21678932,0.24361304,100200,477,,,
B-no_lhs,WP1,20,24,SINGLE_VARIANCE,uniform,comma,off,0.24364535,0.1499112,100200,477,,,
B+plus,WP2,7,0,SINGLE_VARIANCE,lhs,plus,off,0.5091975,0.04982452,100200,477,,,
B+plus,WP2,7,1,SINGLE_VARIANCE,lhs,plus,off,0.50175063,0.06372058,100200,477,,,
B+plus,WP2,7,2,SINGLE_VARIANCE,lhs,plus,off,0.51510767,0.038796,100200,477,,,
B+plus,WP2,7,3,SINGLE_VARIANCE,lhs,plus,off,0.50996368,0.04839482,100200,477,,,
B+plus,WP2,7,4,SINGLE_VARIANCE,lhs,plus,off,0.53551142,0.00072209,100200,477,9900,15990,
B+plus,WP2,7,5,SINGLE_VARIANCE,lhs,plus,off,0.50338491,0.06067097,100200,477,,,
B+plus,WP2,7,6,SINGLE_VARIANCE,lhs,plus,off,0.53514618,0.00140363,100200,477,14940,28170,
B+plus,WP2,7,7,SINGLE_VARIANCE,lhs,plus,off,0.51956153,0.03048499,100200,477,,,
B+plus,WP2,7,8,SINGLE_VARIANCE,lhs,plus,off,0.50703012,0.05386892,100200,477,,,
B+plus,WP2,7,9,SINGLE_VARIANCE,lhs,plus,off,0.51985972,0.02992856,100200,477,,,
B+plus,WP2,7,10,SINGLE_VARIANCE,lhs,plus,off,0.5353819,0.00096378,100200,477,14520,21660,
B+plus,WP2,7,11,SINGLE_VARIANCE,lhs,plus,off,0.52279895,0.02444387,100200,477,,,
B+plus,WP2,7,12,SINGLE_VARIANCE,lhs,plus,off,0.50152789,0.06413622,100200,477,,,
B+plus,WP2,7,13,SINGLE_VARIANCE,lhs,plus,off,0.53036307,0.01032903,100200,477,11790,,
B+plus,WP2,7,14,SINGLE_VARIANCE,lhs,plus,off,0.50968193,0.04892056,100200,477,,,
B+plus,WP2,7,15,SINGLE_VARIANCE,lhs,plus,off,0.52037147,0.02897361,100200,477,,,
B+plus,WP2,7,16,SINGLE_VARIANCE,lhs,plus,off,0.51125036,0.04599384,100200,477,,,
B+plus,WP2,7,17,SINGLE_VARIANCE,lhs,plus,off,0.52654635,0.01745114,100200,477,21870,,
